 virtual                     shared   shared  private  private
    size      RSS      PSS    clean    dirty    clean    dirty    # object
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansBatak-Regular.ttf
      96        0        0        0        0        0        0    1 /system/fonts/NotoSansBengali-Bold.ttf
     100        0        0        0        0        0        0    1 /system/fonts/NotoSansBengali-Regular.ttf
     104        0        0        0        0        0        0    1 /system/fonts/NotoSansBengaliUI-Bold.ttf
     108        0        0        0        0        0        0    1 /system/fonts/NotoSansBengaliUI-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansBuginese-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansBuhid-Regular.ttf
      48        0        0        0        0        0        0    1 /system/fonts/NotoSansCanadianAboriginal-Regular.ttf
      24        0        0        0        0        0        0    1 /system/fonts/NotoSansCham-Bold.ttf
      24        0        0        0        0        0        0    1 /system/fonts/NotoSansCham-Regular.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansCherokee-Regular.ttf
      24        0        0        0        0        0        0    1 /system/fonts/NotoSansCoptic-Regular.ttf
     132        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagari-Bold.ttf
     136        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagari-Regular.ttf
     120        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagariUI-Bold.ttf
     124        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagariUI-Regular.ttf
     136        0        0        0        0        0        0    1 /system/fonts/NotoSansEthiopic-Bold.ttf
     136        0        0        0        0        0        0    1 /system/fonts/NotoSansEthiopic-Regular.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansGeorgian-Bold.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansGeorgian-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansGlagolitic-Regular.ttf
     116        0        0        0        0        0        0    1 /system/fonts/NotoSansGujarati-Bold.ttf
     120        0        0        0        0        0        0    1 /system/fonts/NotoSansGujarati-Regular.ttf
     112        0        0        0        0        0        0    1 /system/fonts/NotoSansGujaratiUI-Bold.ttf
     116        0        0        0        0        0        0    1 /system/fonts/NotoSansGujaratiUI-Regular.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhi-Bold.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhi-Regular.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhiUI-Bold.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhiUI-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansHanunoo-Regular.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansHebrew-Bold.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansHebrew-Regular.ttf
    3128        0        0        0        0        0        0    1 /system/fonts/NotoSansJP-Regular.otf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansJavanese-Regular.ttf
    1792        0        0        0        0        0        0    1 /system/fonts/NotoSansKR-Regular.otf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansKannada-Bold.ttf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansKannada-Regular.ttf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansKannadaUI-Bold.ttf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansKannadaUI-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansKayahLi-Regular.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmer-Bold.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmer-Regular.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmerUI-Bold.ttf
      40        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmerUI-Regular.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansLao-Bold.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansLao-Regular.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansLaoUI-Bold.ttf
      32        0        0        0        0        0        0    1 /system/fonts/NotoSansLaoUI-Regular.ttf
     100        0        0        0        0        0        0    1 /system/fonts/NotoSansLepcha-Regular.ttf
      12        0        0        0        0        0        0    1 /system/fonts/NotoSansLimbu-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansLisu-Regular.ttf
      56        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalam-Bold.ttf
      56        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalam-Regular.ttf
      56        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalamUI-Bold.ttf
      56        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalamUI-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansMandaic-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansMeeteiMayek-Regular.ttf
     112        0        0        0        0        0        0    1 /system/fonts/NotoSansMongolian-Regular.ttf
     216        0        0        0        0        0        0    2 /system/fonts/NotoSansMyanmar-Bold.ttf
     216        0        0        0        0        0        0    2 /system/fonts/NotoSansMyanmar-Regular.ttf
     208        0        0        0        0        0        0    2 /system/fonts/NotoSansMyanmarUI-Bold.ttf
     200        0        0        0        0        0        0    2 /system/fonts/NotoSansMyanmarUI-Regular.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansNKo-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansNewTaiLue-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansOlChiki-Regular.ttf
      84        0        0        0        0        0        0    1 /system/fonts/NotoSansOriya-Bold.ttf
      84        0        0        0        0        0        0    1 /system/fonts/NotoSansOriya-Regular.ttf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansOriyaUI-Bold.ttf
      80        0        0        0        0        0        0    1 /system/fonts/NotoSansOriyaUI-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansRejang-Regular.ttf
    7968        0        0        0        0        0        0    1 /system/fonts/NotoSansSC-Regular.otf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansSaurashtra-Regular.ttf
     152        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhala-Bold.ttf
     156        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhala-Regular.ttf
      12        0        0        0        0        0        0    1 /system/fonts/NotoSansSundanese-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansSylotiNagri-Regular.ttf
     264        0        0        0        0        0        0    1 /system/fonts/NotoSansSymbols-Regular-Subsetted.ttf
      48        0        0        0        0        0        0    1 /system/fonts/NotoSansSyriacEstrangela-Regular.ttf
    3024        0        0        0        0        0        0    1 /system/fonts/NotoSansTC-Regular.otf
       8        0        0        0        0        0        0    1 /system/fonts/NotoSansTagbanwa-Regular.ttf
      12        0        0        0        0        0        0    1 /system/fonts/NotoSansTaiLe-Regular.ttf
      48        0        0        0        0        0        0    1 /system/fonts/NotoSansTaiTham-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansTaiViet-Regular.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansTamil-Bold.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansTamil-Regular.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansTamilUI-Bold.ttf
      36        0        0        0        0        0        0    1 /system/fonts/NotoSansTamilUI-Regular.ttf
     112        0        0        0        0        0        0    1 /system/fonts/NotoSansTeluguUI-Bold.ttf
     112        0        0        0        0        0        0    1 /system/fonts/NotoSansTeluguUI-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansThaana-Bold.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansThaana-Regular.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansThai-Bold.ttf
      24        0        0        0        0        0        0    1 /system/fonts/NotoSansThai-Regular.ttf
      20        0        0        0        0        0        0    1 /system/fonts/NotoSansThaiUI-Bold.ttf
      24        0        0        0        0        0        0    1 /system/fonts/NotoSansThaiUI-Regular.ttf
     392        0        0        0        0        0        0    1 /system/fonts/NotoSansTibetan-Regular.ttf
      16        0        0        0        0        0        0    1 /system/fonts/NotoSansTifinagh-Regular.ttf
      64        0        0        0        0        0        0    1 /system/fonts/NotoSansVai-Regular.ttf
     120        0        0        0        0        0        0    1 /system/fonts/NotoSansYi-Regular.ttf
     244        0        0        0        0        0        0    1 /system/fonts/NotoSerif-Bold.ttf
     260        0        0        0        0        0        0    1 /system/fonts/NotoSerif-BoldItalic.ttf
     244        0        0        0        0        0        0    1 /system/fonts/NotoSerif-Italic.ttf
     244        0        0        0        0        0        0    1 /system/fonts/NotoSerif-Regular.ttf
     408        0        0        0        0        0        0    1 /system/fonts/Padauk.ttf
     292        0        0        0        0        0        0    1 /system/fonts/Roboto-Black.ttf
     312        0        0        0        0        0        0    1 /system/fonts/Roboto-BlackItalic.ttf
     292        0        0        0        0        0        0    1 /system/fonts/Roboto-Bold.ttf
     316        0        0        0        0        0        0    1 /system/fonts/Roboto-BoldItalic.ttf
     312        0        0        0        0        0        0    1 /system/fonts/Roboto-Italic.ttf
     292        0        0        0        0        0        0    1 /system/fonts/Roboto-Light.ttf
     316        0        0        0        0        0        0    1 /system/fonts/Roboto-LightItalic.ttf
     292       88       42       80        0        8        0    1 /system/fonts/Roboto-Medium.ttf
     312        0        0        0        0        0        0    1 /system/fonts/Roboto-MediumItalic.ttf
     296        0        0        0        0        0        0    1 /system/fonts/Roboto-Regular.ttf
     296        0        0        0        0        0        0    1 /system/fonts/Roboto-Thin.ttf
     316        0        0        0        0        0        0    1 /system/fonts/Roboto-ThinItalic.ttf
     288        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-Bold.ttf
     308        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-BoldItalic.ttf
     308        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-Italic.ttf
     288        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-Light.ttf
     312        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-LightItalic.ttf
     292        0        0        0        0        0        0    1 /system/fonts/RobotoCondensed-Regular.ttf
       8        0        0        0        0        0        0    1 /system/fonts/weatherfont-Regular.ttf
    7260     1392      120     1388        0        4        0    2 /system/framework/framework-res.apk
    1060      268       10      268        0        0        0    2 /system/framework/mediatek-res/mediatek-res.apk
   23412     2416      218     1160     1248        0        8    3 /system/lib64/egl/libGLES_mali.so
      60       52       17       40        0        0       12    3 /system/lib64/hw/gralloc.mt6737t.so
      16       12        0        4        8        0        0    3 /system/lib64/hw/memtrack.mt6737t.so
     852      124       15       60       56        0        8    3 /system/lib64/libEGL.so
      20       12        0        4        8        0        0    3 /system/lib64/libETC1.so
     832       20        0        8       12        0        0    3 /system/lib64/libGLES_trace.so
      44       36        2       28        8        0        0    3 /system/lib64/libGLESv1_CM.so
      72       24        1       16        8        0        0    3 /system/lib64/libGLESv2.so
      80       20        0        8       12        0        0    3 /system/lib64/libJpgDecPipe.so
   16108      644       32        8      636        0        0    3 /system/lib64/libLLVM.so
     348       24        0        8       16        0        0    3 /system/lib64/libRS.so
     172       16        0        8        8        0        0    3 /system/lib64/libRScpp.so
      32       12        0        4        8        0        0    3 /system/lib64/libSwJpgCodec.so
     112       16        0        8        8        0        0    3 /system/lib64/libaed.so
     100       28        0        8       20        0        0    3 /system/lib64/libandroid.so
    1520      476       45      364      112        0        0    3 /system/lib64/libandroid_runtime.so
     252      132       10      120        8        0        4    3 /system/lib64/libandroidfw.so
    4800     1804      359     1540        0        0      264    3 /system/lib64/libart-compiler.so
    6120     2936      192     2836       76       16        8    3 /system/lib64/libart.so
      48       16        0        8        8        0        0    3 /system/lib64/libaudioutils.so
      52       16        0        8        8        0        0    3 /system/lib64/libbacktrace.so
      44       16        0        8        8        0        0    3 /system/lib64/libbase.so
     400       20        0        8       12        0        0    3 /system/lib64/libbcc.so
     496       20        0        8       12        0        0    3 /system/lib64/libbcinfo.so
     272      184       11      132       48        0        4    3 /system/lib64/libbinder.so
      60       20        0        8       12        0        0    3 /system/lib64/libbwc.so
     892      200       10      168       28        0        4    3 /system/lib64/libc++.so
     820      416       18      380       28        0        8    3 /system/lib64/libc.so
     260       60        2        8       52        0        0    3 /system/lib64/libcamera_client.so
      40       12        0        4        8        0        0    3 /system/lib64/libcamera_metadata.so
      72       32        1        8       24        0        0    3 /system/lib64/libcommon_time_client.so
     116       16        0        8        8        0        0    3 /system/lib64/libcompiler_rt.so
    1132      452      116      368       80        0        4    3 /system/lib64/libcrypto.so
      68       28        0        8       20        0        0    3 /system/lib64/libcustom_nvram.so
      20       12        0        4        8        0        0    3 /system/lib64/libcustom_prop.so
      96       80        6       72        4        0        4    3 /system/lib64/libcutils.so
      12       12        0        4        8        0        0    3 /system/lib64/libdirect-coredump.so
     588       24        0        8       16        0        0    3 /system/lib64/libdpframework.so
     144       32        1        8       24        0        0    3 /system/lib64/libdrmframework.so
     796       40        1        8       32        0        0    3 /system/lib64/libdrmmtkutil.so
      24       16        0        8        8        0        0    3 /system/lib64/libdrmmtkwhitelist.so
      24       12        0        4        8        0        0    3 /system/lib64/libeffects.so
     228       88        3        8       80        0        0    3 /system/lib64/libexif.so
     144       20        0        8       12        0        0    3 /system/lib64/libexpat.so
     356       20        0        8       12        0        0    3 /system/lib64/libfs_mgr.so
     428      180       26      164       16        0        0    3 /system/lib64/libft2.so
      52       20        0        8       12        0        0    3 /system/lib64/libgas.so
      32       28        1       20        8        0        0    3 /system/lib64/libged.so
      44       24        1       16        8        0        0    3 /system/lib64/libgpu_aux.so
      24       20        5       12        4        0        4    3 /system/lib64/libgralloc_extra.so
     568      256       26      156       96        0        4    3 /system/lib64/libgui.so
     120       76       27       56        0        0       20    3 /system/lib64/libgui_ext.so
      20       20        0        8       12        0        0    3 /system/lib64/libhardware.so
      40       20        0        8       12        0        0    3 /system/lib64/libhardware_legacy.so
     452      208       31      196       12        0        0    3 /system/lib64/libharfbuzz_ng.so
     772      524       98      492       28        0        4    3 /system/lib64/libhwui.so
    2244       92        4        8       84        0        0    3 /system/lib64/libicui18n.so
    1624      344       26      268       76        0        0    3 /system/lib64/libicuuc.so
      88       24        0        8       16        0        0    3 /system/lib64/libimg_utils.so
     176       88        8       60       28        0        0    3 /system/lib64/libinput.so
     384       28        0        8       20        0        0    3 /system/lib64/libinputflinger.so
      16       12        0        4        8        0        0    3 /system/lib64/libion.so
      16       12        0        4        8        0        0    3 /system/lib64/libion_mtk.so
     348      140       13      120       16        0        4    3 /system/lib64/libjavacore.so
     164       84       20       68       16        0        0    3 /system/lib64/libjavacrypto.so
      76       24        0        8       16        0        0    3 /system/lib64/libjhead.so
      12       12        0        4        8        0        0    3 /system/lib64/libjnigraphics.so
     236      124      105       12        8      104        0    3 /system/lib64/libjpeg.so
     156       24        0        8       16        0        0    3 /system/lib64/libkeymaster1.so
      52       16        0        8        8        0        0    3 /system/lib64/libkeymaster_messages.so
      20       12        0        4        8        0        0    3 /system/lib64/libkeystore-engine.so
      64       20        0        8       12        0        0    3 /system/lib64/libkeystore_binder.so
      48       28        0       20        8        0        0    3 /system/lib64/liblog.so
     232       52        4       44        8        0        0    3 /system/lib64/libm.so
      24       16        0        8        8        0        0    3 /system/lib64/libm4u.so
    1176      248       12        8      240        0        0    3 /system/lib64/libmedia.so
     448       36        1        8       28        0        0    3 /system/lib64/libmedia_jni.so
      24       16        0        8        8        0        0    3 /system/lib64/libmediautils.so
      12       12        0        4        8        0        0    3 /system/lib64/libmemtrack.so
      12       12        0        4        8        0        0    3 /system/lib64/libmhalImageCodec.so
      96       60       10       52        4        0        4    3 /system/lib64/libminikin.so
      20       16        0        4       12        0        0    3 /system/lib64/libmrdump.so
      24       12        0        4        8        0        0    3 /system/lib64/libmtk_drvb.so
      48       16        0        8        8        0        0    3 /system/lib64/libmtkcamera_client.so
     248       16        0        8        8        0        0    3 /system/lib64/libmtkjpeg.so
      44       16        0        8        8        0        0    3 /system/lib64/libmtksqlite3_android.so
      12       12        0        4        8        0        0    3 /system/lib64/libmtksqlite3_custom.so
     140       28        0        8       20        0        0    3 /system/lib64/libmtp.so
      20       12        0        4        8        0        0    3 /system/lib64/libnativebridge.so
      36       32        5       24        4        0        4    3 /system/lib64/libnativehelper.so
      52       16        0        8        8        0        0    3 /system/lib64/libnbaio.so
      16       16        0        8        8        0        0    3 /system/lib64/libnetd_client.so
      56       16        0        8        8        0        0    3 /system/lib64/libnetutils.so
     116       20        0        8       12        0        0    3 /system/lib64/libnl.so
      88       16        0        8        8        0        0    3 /system/lib64/libnvram.so
      12       12        0        4        8        0        0    3 /system/lib64/libnvram_platform.so
      16       12        0        4        8        0        0    3 /system/lib64/libnvram_sec.so
      32       16        0        8        8        0        0    3 /system/lib64/libnvramagentclient.so
     308       16        0        8        8        0        0    3 /system/lib64/libopus.so
     112       12        0        4        8        0        0    3 /system/lib64/libpcre.so
    4328       96        4        8       88        0        0    3 /system/lib64/libpdfium.so
      28       20        4       12        4        0        4    3 /system/lib64/libperfservicenative.so
     228      108       13      100        8        0        0    3 /system/lib64/libpng.so
      20       12        0        4        8        0        0    3 /system/lib64/libpowermanager.so
      72       20        0        8       12        0        0    3 /system/lib64/libpq_prot.so
      76       24        0        8       16        0        0    3 /system/lib64/libpqservice.so
      16       16        0        8        8        0        0    3 /system/lib64/libprocessgroup.so
     148       16        0        8        8        0        0    3 /system/lib64/libprotobuf-cpp-lite.so
      64       32        1        8       24        0        0    3 /system/lib64/libradio.so
      16       12        0        4        8        0        0    3 /system/lib64/libradio_metadata.so
      92       56        5       48        4        0        4    3 /system/lib64/libselinux.so
      12       12        0        4        8        0        0    3 /system/lib64/libsigchain.so
    4980      740      112      528      200        8        4    3 /system/lib64/libskia.so
     128       20        0        8       12        0        0    3 /system/lib64/libsoftkeymasterdevice.so
     368       16        0        8        8        0        0    3 /system/lib64/libsonivox.so
      64       32        1        8       24        0        0    3 /system/lib64/libsoundtrigger.so
      20       12        0        4        8        0        0    3 /system/lib64/libspeexresampler.so
     760       44        6       28       12        0        4    3 /system/lib64/libsqlite.so
     280       20        0        8       12        0        0    3 /system/lib64/libssl.so
    3020      124        5        8      116        0        0    3 /system/lib64/libstagefright.so
      72       16        0        8        8        0        0    3 /system/lib64/libstagefright_amrnb_common.so
      48       16        0        8        8        0        0    3 /system/lib64/libstagefright_avc_common.so
      12       12        0        4        8        0        0    3 /system/lib64/libstagefright_enc_common.so
     148       20        0        8       12        0        0    3 /system/lib64/libstagefright_foundation.so
      16       12        0        4        8        0        0    3 /system/lib64/libstagefright_http_support.so
     244       32        1        8       24        0        0    3 /system/lib64/libstagefright_omx.so
      20       12        0        4        8        0        0    3 /system/lib64/libstagefright_yuv.so
      20       12        0        4        8        0        0    3 /system/lib64/libstdc++.so
      12       12        0        4        8        0        0    3 /system/lib64/libsync.so
      48       16        0        8        8        0        0    3 /system/lib64/libsysutils.so
      28       12        0        4        8        0        0    3 /system/lib64/libtouchfilter.so
      56       32        0       24        8        0        0    3 /system/lib64/libudf.so
     112       88       10       72       12        0        4    3 /system/lib64/libui.so
      28       16        0        8        8        0        0    3 /system/lib64/libui_ext.so
     116       16        0        8        8        0        0    3 /system/lib64/libunwind.so
      24       12        0        4        8        0        0    3 /system/lib64/libusbhost.so
     156      108        7       96        8        0        4    3 /system/lib64/libutils.so
      88       16        0        8        8        0        0    3 /system/lib64/libvcodec_utility.so
     308       20        0        8       12        0        0    3 /system/lib64/libvcodecdrv.so
     668      204       23      192        0        0       12    3 /system/lib64/libvixl.so
     124       16        0        8        8        0        0    3 /system/lib64/libvorbisidec.so
      16       12        0        4        8        0        0    3 /system/lib64/libwebviewchromium_loader.so
     264       32        1        8       24        0        0    3 /system/lib64/libwilhelm.so
      24       16        0        8        8        0        0    3 /system/lib64/libwpa_client.so
     120       84        7       76        8        0        0    3 /system/lib64/libz.so
   45264       20        0       20        0        0        0    2 /system/usr/icu/icudt55l.dat
     484        0        0        0        0        0        0    1 /system/usr/share/zoneinfo/tzdata
   64768    37580    12746        0    26212        0    11368   25 [anon:libc_malloc]
     140      140       80        0       60        0       80   29 [anon:linker_alloc]
       4        4        4        0        0        0        4    1 [anon:linker_alloc_128]
       4        4        0        0        4        0        0    1 [anon:linker_alloc_16]
       4        4        4        0        0        0        4    1 [anon:linker_alloc_256]
